Category	Task	Delete	Pending	Priority
Appointments	? Ella cavity treatment appointments (2 sessions)		X	
Appointments	"? Accountability meeting with Tracy McCartin, Shelley Burroughs, and Emma Boyd"			
Burn The Sky	? Advance retail fireworks placement strategy in Oshawa and Whitby convenience stores			
Burn The Sky	? Meet with Mark and Colin to define retail margins and consignment structure			
Burn The Sky	? Plan Victoria Day retail execution across 20 Oshawa stores			
Burn The Sky	? Scout additional container and tent locations including 555 Simcoe and 401-area sites			
Burn The Sky	? Better understand Mystical  drop-shipping and TDG packaging 			
Burn The Sky	? Build functional Burn the Sky website to establish brand legitimacy			
Burn The Sky	? Speak to Mandeep at Rajdhani			
Burn The Sky	? Spend approximately one hour working on Burn The Sky fireworks			
Burn The Sky	? Decide between self-funded trailer expansion vs 50/50 Fat Boy zero-risk partnership			
Burn The Sky	? Decide whether to expand Diwali into a destination-format operation at Simcoe			
Burn The Sky	? Determine how many retail stores equal one 40-foot trailer in profit			
Burn The Sky	? Confirm wholesale licensing and insurance requirements before pursuing retail			
Burn The Sky	? Confirm ability to increase Mystical credit capacity to support wholesale scale			
Burn The Sky	? Initiate discussion with Fat Boy regarding creation of retail division partnership			
Family and Personal	? Look into OHIP coverage process for $800 ambulance bill	 		
Family and Personal	? Schedule Ella?s two cavity treatment appointments			
Family and Personal	? Decide whether to transfer kids to SmileView Dental			
Family and Personal	? Send dental X-rays to SmileView Dental			
Family and Personal	? Assist with submitting ambulance bill to OHIP			
Family and Personal	? Research OHIP reimbursement coverage for out-of-province ambulance costs			
Legal and Admin	? Prepare for small claims court action against Quicken Lube			
Life Systems and Admin	? Reduce unread texts to zero	 		
Life Systems and Admin	? Develop QR code Google review signage side-hustle concept			
Life Systems and Admin	? Modify ChatGPT or master prompt to allow pause command			
Life Systems and Admin	? Start daily accountability video channel for 2026	x		
Life Systems and Admin	? Research half marathons in British Columbia for 2026			
Life Systems and Admin	? Evaluate BC anniversary trip logistics			
Life Systems and Admin	? Compare driving vs flying to Prince Rupert			
Life Systems and Admin	? Plan anniversary trip window around August 8			
Life Systems and Admin	? Identify salmon fishing timing in Haida Gwaii			
Politics	? Identify key cultural community influencers in Oshawa	 		
Politics	? Follow up with M‚lanie Joly?s executive assistant			
Politics	? Continue Liberal fundraising planning activities			
Politics	? Coordinate Oshawa Liberal Association fundraising calendar			
Politics	? Establish 12-month fundraising target for riding association			
Politics	? Plan Victory Fund exclusive donor event for April 18?19			
Politics	? Plan April pancake fundraiser with Durham Outlook for the Needy			
Politics	? Begin planning Ivan Grose tribute dinner for October			
Politics	? Request LPCO field organizer or MP participation for Talk To Us Tuesday			
Politics	? Clean and reconcile Liberalist contact lists			
